S. No.,GADE(Generalized Anxiety disorder),Percentage(RESULT),SWL(Satisfaction of work life),Game,Platform,Hours,earnings,whyplay,Gender,Age,Work,Degree,Birthplace,Residence
3272,Not difficult at all,1-25%,1,League of Legends,PC,20,I play for fun,having fun,Male,30,Employed,Bachelor (or equivalent),USA,USA
3273,Not difficult at all,1-25%,2,League of Legends,PC,40,I play for fun,improving,Male,20,Unemployed / between jobs,None,USA,USA
3274,Not difficult at all,1-25%,4,League of Legends,PC,18,I play for fun,having fun,Male,21,Student at school,None,Portugal,Portugal
3275,Not difficult at all,1-25%,2,League of Legends,PC,14,I play for fun,relaxing,Male,18,Student at college / university,High school diploma (or equivalent),Germany,Germany
3276,Not difficult at all,1-25%,2,League of Legends,PC,14,I play for fun,winning,Male,23,Unemployed / between jobs,None,Norway,Norway
3278,Not difficult at all,1-25%,4,League of Legends,PC,20,I play for fun,having fun,Male,19,Employed,High school diploma (or equivalent),Latvia,Latvia
3281,Somewhat difficult,26-50%,3,League of Legends,PC,15,I play for fun,having fun,Male,21,Student at college / university,High school diploma (or equivalent),USA,USA
3282,Not difficult at all,1-25%,6,League of Legends,PC,20,I play for fun,improving,Male,22,Student at college / university,High school diploma (or equivalent),Germany,Germany
3283,Somewhat difficult,26-50%,1,League of Legends,PC,50,I play for fun,improving,Male,25,Student at college / university,Bachelor (or equivalent),France,France
3284,Not difficult at all,1-25%,2,League of Legends,PC,20,I play for fun,winning,Male,23,Unemployed / between jobs,High school diploma (or equivalent),Belgium,Belgium
3285,Not difficult at all,1-25%,1,League of Legends,PC,30,I play for fun,winning,Male,22,Student at college / university,High school diploma (or equivalent),Unknown,Germany
3286,Somewhat difficult,26-50%,7,Other,PC,10,I play for fun,having fun,Male,19,Student at college / university,High school diploma (or equivalent),Netherlands,Netherlands
3287,Not difficult at all,1-25%,1,League of Legends,PC,8,I play for fun,winning,Male,19,Student at school,High school diploma (or equivalent),USA,USA
3288,Not difficult at all,1-25%,4,League of Legends,PC,20,I play for fun,having fun,Male,19,Student at school,High school diploma (or equivalent),Canada,Canada
3289,Somewhat difficult,26-50%,1,League of Legends,PC,21,I play for fun,having fun,Male,20,Student at college / university,Bachelor (or equivalent),China,Australia
3290,Somewhat difficult,26-50%,2,League of Legends,PC,20,I play for fun,having fun,Female,22,Student at college / university,High school diploma (or equivalent),Portugal,Portugal
3291,Not difficult at all,1-25%,4,League of Legends,PC,20,I play for fun,winning,Male,20,Employed,High school diploma (or equivalent),Singapore,Singapore
3292,Somewhat difficult,26-50%,4,Other,PC,20,I play for fun,winning,Male,20,Student at college / university,High school diploma (or equivalent),Netherlands,Netherlands
3293,Very difficult,51-75%,1,League of Legends,PC,16,I play for fun,having fun,Male,18,Student at college / university,High school diploma (or equivalent),USA,USA
3294,Not difficult at all,1-25%,2,League of Legends,PC,30,I play for fun,having fun,Male,20,Student at college / university,High school diploma (or equivalent),Germany,Germany
3295,Not difficult at all,1-25%,2,League of Legends,PC,25,I play for fun,relaxing,Male,19,Student at college / university,High school diploma (or equivalent),USA,USA
3296,Not difficult at all,1-25%,2,League of Legends,PC,30,I play for fun,having fun,Male,18,Employed,High school diploma (or equivalent),UK,UK
3297,Very difficult,51-75%,2,League of Legends,PC,30,I play for fun,having fun,Male,22,Student at college / university,High school diploma (or equivalent),Germany,Netherlands
3298,Somewhat difficult,26-50%,3,League of Legends,PC,20,I play for fun,winning,Male,42,Employed,None,UK,UK
3299,Somewhat difficult,26-50%,6,League of Legends,PC,10,I play for fun,having fun,Male,23,Student at college / university,Bachelor (or equivalent),USA,USA
3300,Not difficult at all,1-25%,2,League of Legends,PC,18,I play for fun,having fun,Male,20,Student at college / university,High school diploma (or equivalent),Brazil,Brazil
3301,Not difficult at all,1-25%,3,League of Legends,PC,15,I play for fun,improving,Male,19,Student at college / university,High school diploma (or equivalent),Azerbaijan,Sweden
3302,Not difficult at all,1-25%,1,Hearthstone,PC,14,I play for fun,improving,Male,32,Employed,Master (or equivalent),France,Vietnam
3303,Very difficult,51-75%,2,League of Legends,PC,20,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",having fun,Male,18,Student at school,High school diploma (or equivalent),USA,USA
3304,Not difficult at all,1-25%,4,League of Legends,PC,21,I play for fun,having fun,Male,24,Student at college / university,Bachelor (or equivalent),Maldives,Slovenia
3305,Not difficult at all,1-25%,7,Other,"Console (PS, Xbox, ...)",15,I play for fun,having fun,Male,24,Employed,Bachelor (or equivalent),USA,USA
3306,Not difficult at all,1-25%,3,League of Legends,PC,40,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",improving,Male,21,Student at college / university,High school diploma (or equivalent),South Africa,UK
3307,NA,0,7,League of Legends,PC,60,I play for fun,having fun,Male,23,Employed,Bachelor (or equivalent),France,France
3308,Not difficult at all,1-25%,3,Other,PC,10,I play for fun,winning,Male,25,Unemployed / between jobs,Bachelor (or equivalent),China,Taiwan
3309,Somewhat difficult,26-50%,3,League of Legends,PC,21,I play for fun,having fun,Male,18,Unemployed / between jobs,High school diploma (or equivalent),Brazil,Brazil
3310,Very difficult,51-75%,2,League of Legends,PC,25,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",improving,Male,21,Employed,Bachelor (or equivalent),UK,UK
3311,Not difficult at all,1-25%,2,League of Legends,PC,21,I play for fun,improving,Male,18,Student at college / university,High school diploma (or equivalent),Netherlands,Netherlands
3312,Somewhat difficult,26-50%,3,Other,PC,6,I play for fun,having fun,Male,19,Student at college / university,High school diploma (or equivalent),USA,USA
3313,Somewhat difficult,26-50%,2,League of Legends,PC,30,I play for fun,Habit,Male,24,Student at college / university,Bachelor (or equivalent),USA,USA
3314,Extremely difficult,76-100%,1,League of Legends,PC,10,I play for fun,improving,Male,31,Employed,Bachelor (or equivalent),USA,USA
3315,NA,0,6,League of Legends,PC,20,I play for fun,improving,Male,23,Employed,Bachelor (or equivalent),USA,USA
3316,Not difficult at all,1-25%,3,League of Legends,PC,30,I play for fun,improving,Male,18,Student at school,None,USA,USA
3317,NA,0,3,League of Legends,PC,20,I play for fun,winning,Male,26,Employed,Bachelor (or equivalent),USA,USA
3318,Not difficult at all,1-25%,6,League of Legends,PC,3,I play for fun,having fun,Male,20,Student at college / university,High school diploma (or equivalent),Slovakia,Canada
3319,Very difficult,51-75%,1,League of Legends,PC,20,I play for fun,having fun,Male,24,Unemployed / between jobs,Bachelor (or equivalent),USA,USA
3320,Somewhat difficult,26-50%,7,World of Warcraft,PC,20,I play for fun,having fun,Male,19,Student at college / university,High school diploma (or equivalent),Germany,Germany
3321,Very difficult,51-75%,1,League of Legends,PC,20,I play for fun,relaxing,Female,25,Unemployed / between jobs,High school diploma (or equivalent),USA,UK
3322,Not difficult at all,1-25%,3,League of Legends,PC,10,I play for fun,having fun,Male,26,Employed,Bachelor (or equivalent),USA,USA
3323,Not difficult at all,1-25%,1,League of Legends,PC,30,I play for fun,having fun,Male,20,Student at college / university,None,Turkey,Turkey
3324,Somewhat difficult,26-50%,2,League of Legends,PC,25,I play for fun,winning,Male,25,Employed,High school diploma (or equivalent),Netherlands,Netherlands
3325,Not difficult at all,1-25%,7,League of Legends,PC,11,I play for fun,having fun,Male,18,Student at school,High school diploma (or equivalent),USA,USA
3326,Somewhat difficult,26-50%,3,League of Legends,PC,10,I play for fun,having fun,Male,18,Employed,High school diploma (or equivalent),Germany,Germany
3327,NA,0,6,League of Legends,PC,30,I play for fun,winning,Male,18,Student at school,High school diploma (or equivalent),Sweden,Sweden
3328,Not difficult at all,1-25%,3,League of Legends,PC,12,I play for fun,having fun,Male,18,Student at school,High school diploma (or equivalent),Portugal,Portugal
3329,Somewhat difficult,26-50%,2,League of Legends,PC,14,I play for fun,having fun,Male,23,Employed,Bachelor (or equivalent),Ireland,Ireland
3330,Not difficult at all,1-25%,2,League of Legends,PC,21,I play for fun,improving,Male,19,Student at college / university,High school diploma (or equivalent),USA,USA
3331,Not difficult at all,1-25%,6,League of Legends,PC,6,I play for fun,having fun,Female,18,Student at school,High school diploma (or equivalent),Norway,Norway
3332,Not difficult at all,1-25%,3,League of Legends,PC,11,I play for fun,improving,Male,20,Student at college / university,High school diploma (or equivalent),Germany,Germany
3333,Not difficult at all,1-25%,6,League of Legends,PC,5,I play for fun,having fun,Male,18,Student at college / university,None,USA,USA
3334,Not difficult at all,1-25%,1,League of Legends,PC,10,I play for fun,improving,Male,24,Unemployed / between jobs,High school diploma (or equivalent),UK,UK
3335,Somewhat difficult,26-50%,2,League of Legends,PC,30,I play for fun,improving,Male,18,Student at school,None,USA,USA
3336,Not difficult at all,1-25%,4,League of Legends,PC,25,I play for fun,having fun,Male,21,Student at college / university,High school diploma (or equivalent),Denmark,Denmark
3337,Not difficult at all,1-25%,7,League of Legends,PC,12,I play for fun,improving,Male,23,Employed,Master (or equivalent),France,France
3338,Not difficult at all,1-25%,4,League of Legends,PC,25,I play for fun,having fun,Male,20,Student at college / university,High school diploma (or equivalent),Italy,Italy
3339,Somewhat difficult,26-50%,3,League of Legends,PC,7,I play for fun,winning,Male,19,Student at college / university,None,Portugal,Portugal
3340,Not difficult at all,1-25%,2,League of Legends,PC,30,I play for fun,winning,Male,23,Student at college / university,High school diploma (or equivalent),Canada,Canada
3341,Not difficult at all,1-25%,5,League of Legends,PC,15,I play for fun,improving,Male,23,Employed,"Ph.D., Psy. D., MD (or equivalent)",France,France
3342,Not difficult at all,1-25%,3,League of Legends,PC,35,I play for fun,relaxing,Male,23,Unemployed / between jobs,High school diploma (or equivalent),Croatia,Croatia
3343,Somewhat difficult,26-50%,1,League of Legends,PC,16,I play for fun,relaxing,Male,18,Student at school,High school diploma (or equivalent),Estonia,Estonia
3344,Not difficult at all,1-25%,6,League of Legends,PC,5,I play for fun,having fun,Male,28,Student at college / university,Master (or equivalent),Germany,Germany
3345,Somewhat difficult,26-50%,2,League of Legends,PC,15,I play for fun,having fun,Male,18,Student at school,None,Finland,Finland
3346,Somewhat difficult,26-50%,1,League of Legends,PC,20,I play for fun,relaxing,Male,24,Student at college / university,Master (or equivalent),Netherlands,Netherlands
3347,Somewhat difficult,26-50%,2,League of Legends,PC,14,I play for fun,improving,Male,19,Student at college / university,High school diploma (or equivalent),Croatia,Croatia
3348,Somewhat difficult,26-50%,3,League of Legends,PC,14,I play for fun,improving,Male,18,Student at college / university,High school diploma (or equivalent),USA,USA
3349,Not difficult at all,1-25%,1,League of Legends,PC,10,I play for fun,improving,Male,18,Unemployed / between jobs,High school diploma (or equivalent),Canada,Canada
3350,Somewhat difficult,26-50%,5,League of Legends,PC,70,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",improving,Male,22,Student at college / university,High school diploma (or equivalent),Sweden,Sweden
3351,Somewhat difficult,26-50%,3,League of Legends,PC,20,I play for fun,winning,Male,24,Student at college / university,Bachelor (or equivalent),USA,USA
3352,Not difficult at all,1-25%,5,Other,PC,10,I play for fun,improving,Male,19,Student at college / university,High school diploma (or equivalent),Netherlands,Turkey
3353,Not difficult at all,1-25%,6,League of Legends,PC,30,I play for fun,improving,Male,26,Student at college / university,Bachelor (or equivalent),Germany,Germany
3354,Not difficult at all,1-25%,3,League of Legends,PC,14,I play for fun,having fun,Male,19,Student at college / university,High school diploma (or equivalent),Costa Rica,Costa Rica
3355,Not difficult at all,1-25%,7,League of Legends,PC,80,I play for fun,winning,Male,18,Unemployed / between jobs,High school diploma (or equivalent),Canada,Brazil
3356,Somewhat difficult,26-50%,5,League of Legends,PC,30,I play for fun,improving,Male,28,Employed,None,Estonia,Estonia
3357,Somewhat difficult,26-50%,4,League of Legends,PC,15,I play for fun,having fun,Male,20,Student at college / university,High school diploma (or equivalent),Greece,Greece
